iteration,hard,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,exp10,
1.0,75.0,112.5,3600.0,1400.0,360.0,258.8235294117647,3300.0,1700.0,220.00000000000003,2850.0,266.6666666666667,
2.0,45.45454545454546,109.09090909090908,4766.666666666666,900.0,377.77777777777777,373.6842105263158,3275.0,1166.6666666666665,168.75,2825.0,325.0,
3.0,21.42857142857143,100.0,3071.4285714285716,780.0,427.27272727272737,457.1428571428571,3900.0,1300.0,184.21052631578948,2125.0,283.3333333333333,
4.0,0.0,94.11764705882352,1531.578947368421,210.71428571428572,338.88888888888886,504.1666666666667,4316.666666666666,584.6153846153845,190.47619047619045,1883.3333333333333,262.5,
5.0,-26.315789473684205,84.21052631578947,1780.0,187.5,308.69565217391306,365.8536585365854,4600.0,620.0,186.9565217391304,2138.461538461538,102.38095238095238,
6.0,-39.13043478260869,78.26086956521739,1296.969696969697,165.7142857142857,312.0,381.3953488372093,3225.0,675.0,169.23076923076923,2357.1428571428573,71.11111111111111,
7.0,-63.99999999999999,68.0,1324.3243243243244,111.76470588235294,311.11111111111114,393.3333333333333,3192.8571428571427,683.3333333333333,140.625,2122.222222222222,39.13043478260869,
8.0,-62.857142857142854,57.14285714285714,1410.2564102564102,89.85507246376811,296.6666666666667,361.11111111111114,3168.75,657.1428571428571,117.14285714285715,2160.0,10.416666666666663,
9.0,-72.09302325581395,46.51162790697675,1482.9268292682927,68.57142857142857,268.5714285714286,349.1525423728814,3150.0,612.0,90.47619047619048,2186.3636363636365,-15.384615384615374,
10.0,-106.81818181818184,29.54545454545454,1484.4444444444446,50.0,254.05405405405403,285.7142857142857,3130.0,634.6153846153845,68.18181818181819,1612.121212121212,-47.169811320754704,
11.0,-129.78723404255322,17.021276595744684,1573.913043478261,27.586206896551722,242.10526315789474,271.25,3257.142857142857,570.9677419354839,50.0,1682.3529411764707,-76.36363636363637,
12.0,-157.14285714285717,4.081632653061229,1627.0833333333335,2.2727272727272707,213.95348837209303,243.82022471910113,3368.181818181818,475.0,28.57142857142857,1613.157894736842,-90.47619047619047,
13.0,-160.71428571428572,1.7857142857142905,1706.1224489795918,-21.111111111111104,193.33333333333334,229.67032967032966,2765.5172413793102,414.58333333333337,6.000000000000005,1423.913043478261,-123.07692307692308,
14.0,-173.7704918032787,-3.2786885245901676,1598.2142857142858,-33.00970873786409,176.08695652173913,207.0707070707071,2767.7419354838707,410.2040816326531,-10.909090909090914,1468.0851063829787,-145.71428571428572,
15.0,-195.3125,-10.9375,1559.016393442623,-56.60377358490567,155.10204081632654,189.4230769230769,2688.2352941176473,343.3333333333333,-29.31034482758621,1421.5686274509803,-176.7123287671233,
16.0,-207.2463768115942,-14.492753623188403,1616.1290322580649,-75.0,127.58620689655173,175.47169811320757,2691.666666666667,248.86363636363632,-43.5483870967742,1001.2987012987013,-206.49350649350652,
17.0,-227.77777777777777,-22.222222222222232,1552.9411764705883,-98.24561403508771,104.91803278688525,153.44827586206895,2764.864864864865,228.88888888888889,-56.71641791044777,914.9425287356323,-220.00000000000003,
18.0,-251.35135135135135,-31.081081081081074,1516.4383561643835,-120.6896551724138,81.81818181818181,136.1344537815126,2692.5,202.08333333333331,-76.81159420289856,912.3595505617977,-255.17241379310346,
