iteration,hard,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,exp10,
1.0,85.71428571428572,100.0,80.0,100.0,100.0,50.0,80.0,100.0,100.0,75.0,0.0,
2.0,80.0,90.0,75.0,100.0,100.0,75.0,75.0,60.0,50.0,83.33333333333334,37.5,
3.0,68.42105263157895,78.94736842105263,80.0,83.33333333333334,57.14285714285714,66.66666666666667,80.0,71.42857142857143,66.66666666666667,70.0,50.0,
4.0,70.0,80.0,77.77777777777779,81.25,60.0,71.42857142857143,83.33333333333334,81.81818181818181,71.42857142857143,72.72727272727273,50.0,
5.0,72.72727272727273,81.81818181818181,80.0,80.76923076923077,68.18181818181819,77.77777777777779,85.71428571428572,75.0,64.70588235294117,79.3103448275862,53.84615384615385,
6.0,76.0,90.0,81.81818181818181,82.14285714285714,67.74193548387098,72.72727272727273,85.71428571428572,77.77777777777779,65.0,80.64516129032258,53.333333333333336,
7.0,74.50980392156863,90.19607843137256,87.87878787878788,80.0,68.75,75.0,84.0,81.81818181818181,66.66666666666667,78.78787878787878,56.25,
8.0,75.92592592592592,90.74074074074075,86.04651162790698,82.92682926829268,68.57142857142857,73.33333333333334,85.71428571428572,84.61538461538461,70.83333333333333,80.0,57.89473684210527,
9.0,76.36363636363637,90.9090909090909,85.71428571428572,82.6086956521739,72.5,78.94736842105263,83.33333333333334,86.20689655172413,74.07407407407408,78.37837837837837,63.63636363636363,
10.0,74.13793103448276,89.65517241379311,86.66666666666667,83.33333333333334,72.72727272727273,78.26086956521739,83.87096774193549,84.84848484848484,75.86206896551724,76.92307692307692,64.0,
11.0,74.57627118644068,89.83050847457628,85.48387096774194,84.31372549019608,71.73913043478262,76.0,83.78378378378379,85.36585365853658,72.09302325581395,75.60975609756098,65.38461538461539,
12.0,73.77049180327869,88.52459016393442,83.5820895522388,85.18518518518519,69.0909090909091,75.0,78.43137254901961,79.59183673469387,71.69811320754718,65.51724137931035,73.17073170731707,
13.0,74.19354838709677,88.70967741935483,84.05797101449275,83.63636363636364,70.17543859649122,70.58823529411764,79.62962962962963,78.43137254901961,71.9298245614035,67.21311475409837,77.35849056603774,
14.0,73.4375,89.0625,84.28571428571429,83.33333333333334,71.1864406779661,72.22222222222221,75.71428571428571,78.125,72.41379310344827,73.33333333333334,74.54545454545455,
15.0,73.61111111111111,87.5,82.43243243243244,84.12698412698413,70.0,65.85365853658536,74.66666666666666,78.26086956521739,73.77049180327869,71.42857142857143,70.49180327868852,
16.0,72.6027397260274,86.3013698630137,81.81818181818181,84.84848484848484,71.875,65.90909090909092,74.02597402597402,74.15730337078652,74.19354838709677,71.875,70.3125,
17.0,75.30864197530865,87.65432098765432,82.27848101265822,85.29411764705883,73.13432835820896,65.95744680851064,73.41772151898735,75.26881720430107,72.72727272727273,71.7557251908397,71.83098591549295,
18.0,75.90361445783132,87.95180722891567,83.13253012048193,85.5072463768116,73.91304347826086,67.34693877551021,74.39024390243902,75.78947368421053,73.52941176470588,71.64179104477613,72.6027397260274,
19.0,75.5813953488372,88.37209302325581,83.52941176470588,83.33333333333334,74.28571428571429,67.9245283018868,74.69879518072288,75.25773195876289,73.58490566037736,71.22302158273382,72.97297297297297,
20.0,72.91666666666667,87.5,83.33333333333334,80.8080808080808,76.0,69.64285714285714,74.72527472527473,73.45132743362832,74.59016393442623,70.62937062937063,71.05263157894737,
21.0,73.0,87.0,82.79569892473117,81.1881188118812,76.62337662337663,70.17543859649122,76.28865979381443,73.04347826086956,74.01574803149606,69.79865771812081,70.51282051282051,
22.0,73.52941176470588,87.25490196078431,81.25,80.58252427184466,75.30864197530865,71.1864406779661,74.74747474747474,73.98373983739836,74.43609022556392,71.25,71.60493827160495,
23.0,73.83177570093457,87.85046728971963,82.0,81.30841121495327,76.19047619047619,72.1311475409836,74.0,73.01587301587303,74.26470588235294,71.77914110429448,71.95121951219512,
24.0,72.32142857142857,86.60714285714286,82.2429906542056,81.25,76.47058823529412,73.01587301587303,73.33333333333334,73.07692307692308,74.63768115942028,71.34146341463415,73.03370786516854,
25.0,71.68141592920354,86.72566371681415,80.73394495412845,81.41592920353982,76.74418604651163,70.76923076923076,72.97297297297297,73.6842105263158,73.79310344827586,71.42857142857143,73.95833333333333,
26.0,71.30434782608695,86.08695652173914,81.25,81.03448275862068,77.89473684210526,69.6969696969697,72.32142857142857,73.91304347826086,73.97260273972603,71.76470588235294,74.74747474747474,
27.0,71.900826446281,86.77685950413223,81.57894736842105,81.19658119658119,76.53061224489795,68.65671641791045,73.38709677419355,74.10071942446044,73.11827956989248,71.34502923976609,75.49019607843137,
28.0,71.65354330708662,87.4015748031496,81.81818181818181,81.5126050420168,76.76767676767678,70.4225352112676,73.80952380952381,73.79310344827586,73.2620320855615,70.6896551724138,74.52830188679245,
29.0,72.09302325581395,87.59689922480621,81.30081300813008,80.83333333333333,76.0,69.86301369863014,74.80916030534351,73.46938775510203,73.82198952879581,70.1492537313433,73.63636363636363,
30.0,71.96969696969697,87.87878787878788,81.67938931297711,81.10236220472441,75.49019607843137,69.73684210526316,75.37313432835822,74.17218543046357,73.4375,69.26829268292683,73.21428571428572,
31.0,72.72727272727273,88.11188811188812,82.75862068965517,80.91603053435115,72.88135593220339,71.42857142857143,75.18248175182481,74.3421052631579,73.46938775510203,69.41747572815534,72.80701754385966,
32.0,72.10884353741497,87.75510204081633,82.99319727891157,80.45112781954887,72.8,72.38095238095238,75.0,74.53416149068323,73.23232323232322,69.08212560386472,73.27586206896552,
