iteration,hard,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,exp10,
1.0,2700.0,2800.0,173.33333333333334,375.0,900.0,428.57142857142856,133.33333333333331,130.76923076923077,675.0,1200.0,2850.0,
2.0,2700.0,2800.0,216.66666666666669,300.0,350.0,675.0,120.0,146.66666666666669,490.90909090909093,337.5,3766.6666666666665,
3.0,3220.0000000000005,3340.0,250.0,164.51612903225805,322.22222222222223,500.0,100.0,158.82352941176472,542.8571428571429,316.66666666666663,1264.2857142857142,
4.0,1963.6363636363637,2063.6363636363635,272.72727272727275,155.88235294117646,350.0,550.0,86.66666666666667,140.0,640.0,328.57142857142856,1437.5,
5.0,1780.0,1893.3333333333333,280.0,150.0,180.64516129032256,513.0434782608695,68.42105263157895,133.33333333333331,682.3529411764706,311.7647058823529,1239.1304347826087,
6.0,1445.4545454545455,1559.0909090909092,261.2903225806451,144.73684210526315,171.42857142857144,496.2962962962963,52.17391304347826,116.12903225806453,715.7894736842105,310.5263157894737,806.9767441860465,
7.0,1452.0,1588.0,263.6363636363637,130.43478260869566,164.86486486486487,525.0,25.92592592592593,96.96969696969697,585.1851851851852,241.3793103448276,886.3636363636364,
8.0,1174.2857142857142,1300.0,183.05084745762713,115.38461538461537,158.97435897435898,530.0,5.714285714285716,74.54545454545455,508.57142857142856,240.0,904.1666666666666,
9.0,1216.2162162162163,1364.864864864865,166.66666666666666,100.0,147.61904761904762,531.25,-23.076923076923084,52.542372881355924,530.5555555555555,220.00000000000003,933.3333333333334,
10.0,1253.8461538461538,1423.076923076923,146.91358024691357,85.96491228070175,138.63636363636363,545.4545454545454,-58.53658536585367,35.064935064935064,536.8421052631579,210.81081081081078,957.4074074074074,
11.0,1085.7142857142858,1244.8979591836735,138.0952380952381,70.3125,127.65957446808511,527.7777777777777,-86.36363636363636,6.41025641025641,511.6279069767442,202.56410256410254,1010.909090909091,
12.0,1053.7037037037037,1222.2222222222222,130.58823529411765,52.3076923076923,109.09090909090908,532.4324324324325,-117.39130434782608,-21.518987341772156,506.52173913043475,152.38095238095238,939.0625,
13.0,1056.140350877193,1242.1052631578948,122.98850574712642,40.25974025974026,90.625,523.0769230769231,-144.89795918367346,-47.5609756097561,500.0,120.7792207792208,953.7313432835822,
14.0,1074.5762711864406,1279.6610169491526,114.44444444444444,25.609756097560975,72.46376811594203,481.8181818181818,-169.23076923076925,-73.25581395348837,486.7924528301886,98.78048780487805,979.7101449275364,
15.0,1088.5245901639344,1314.7540983606557,105.3763440860215,10.22727272727273,53.42465753424658,459.57446808510645,-170.00000000000003,-98.88888888888889,494.44444444444446,77.10843373493977,1017.1428571428571,
16.0,1116.1290322580646,1367.741935483871,95.14563106796116,-8.888888888888879,33.78378378378378,435.99999999999994,-198.38709677419354,-122.34042553191489,484.2105263157895,55.952380952380956,1053.5211267605634,
17.0,1079.1044776119402,1338.8059701492537,83.76068376068376,-27.173913043478272,15.58441558441559,419.2307692307692,-142.85714285714283,-150.0,438.4615384615385,35.29411764705882,1059.4594594594594,
18.0,1088.4057971014493,1366.6666666666665,72.72727272727273,-45.26315789473685,-1.2345679012345734,387.719298245614,-160.39603960396042,-169.60784313725492,423.5294117647059,17.708333333333336,1090.6666666666665,
19.0,1027.6315789473686,1305.2631578947369,61.78861788617886,-62.24489795918367,-19.277108433734934,368.3333333333333,-158.53658536585365,-198.0769230769231,414.2857142857142,-1.9230769230769162,1079.746835443038,
20.0,995.0617283950617,1280.2469135802469,51.58730158730158,-79.20792079207921,-37.64705882352941,351.61290322580646,-174.45255474452557,-228.57142857142856,397.2602739726027,-24.770642201834868,1091.358024691358,
21.0,986.9047619047618,1285.7142857142858,46.35761589403974,-99.02912621359224,-56.9767441860465,339.6825396825397,-211.42857142857144,-256.0747663551402,367.0886075949367,-51.35135135135136,1086.904761904762,
22.0,947.7777777777778,1250.0,33.333333333333336,-118.09523809523807,-64.58333333333333,295.8904109589041,-223.71794871794873,-280.0,355.0,-76.52173913043478,1068.1818181818182,
23.0,939.7849462365592,1254.8387096774195,20.12987012987013,-136.4485981308411,-85.71428571428572,278.6666666666667,-255.55555555555554,-306.25,339.0243902439024,-102.54237288135593,928.5714285714287,
24.0,950.0,1284.0425531914893,8.227848101265822,-141.3793103448276,-106.99999999999999,259.7402597402597,-288.0239520958084,-301.62601626016266,245.83333333333331,-121.60000000000002,936.7924528301886,
25.0,922.2222222222222,1262.6262626262626,-5.031446540880502,-163.24786324786325,-110.71428571428572,242.30769230769232,-324.70588235294116,-329.8387096774194,221.60000000000002,-150.79365079365078,937.0370370370371,
26.0,919.8019801980198,1277.2277227722773,-17.28395061728396,-185.59322033898303,-119.67213114754101,218.0722891566265,-360.1156069364162,-354.76190476190476,197.6923076923077,-169.9248120300752,905.2631578947368,
27.0,908.6538461538462,1279.8076923076924,-28.31325301204819,-205.83333333333331,-140.0,197.67441860465115,-400.57471264367814,-355.55555555555554,173.33333333333334,-197.77777777777777,895.7264957264957,
28.0,897.1962616822431,1282.2429906542056,-41.071428571428584,-223.57723577235774,-148.14814814814815,175.82417582417582,-434.46327683615823,-383.0882352941177,151.47058823529412,-225.54744525547443,892.436974789916,
29.0,869.6428571428571,1262.5,-52.32558139534884,-244.0,-163.1205673758865,148.57142857142858,-467.7777777777778,-402.8776978417266,126.57342657342659,-255.0724637681159,880.3278688524589,
30.0,850.8620689655172,1254.310344827586,-64.94252873563218,-257.69230769230774,-184.6153846153846,127.43362831858407,-506.6298342541437,-425.531914893617,104.16666666666667,-270.3448275862069,868.7999999999998,
31.0,819.6721311475411,1227.0491803278687,-78.85714285714285,-275.9398496240602,-204.10958904109592,108.69565217391303,-536.7567567567568,-452.112676056338,81.20805369127517,-295.27027027027026,794.9640287769785,
32.0,813.7096774193548,1237.9032258064517,-91.52542372881356,-278.16901408450707,-223.48993288590603,89.25619834710744,-561.2565445026178,-478.32167832167835,58.94039735099338,-298.125,772.9166666666667,
33.0,746.7153284671533,1154.7445255474452,-101.0989010989011,-296.55172413793105,-203.44827586206895,69.53125,-585.7868020304569,-496.5753424657534,38.60759493670886,-298.2857142857143,765.068493150685,
34.0,737.410071942446,1164.0287769784172,-102.04081632653059,-317.0068027210885,-221.78770949720672,51.07913669064747,-620.5,-523.1292517006802,16.35220125786163,-325.84269662921355,751.6778523489933,
35.0,727.6595744680851,1172.340425531915,-114.07035175879399,-337.5838926174497,-234.75935828877004,30.98591549295775,-654.6798029556651,-545.6375838926174,-4.216867469879526,-308.3743842364532,738.1578947368421,
36.0,717.4825174825176,1179.7202797202797,-126.86567164179104,-357.61589403973505,-235.29411764705884,11.564625850340137,-685.024154589372,-560.7843137254902,-23.863636363636353,-341.6666666666667,719.8717948717949,
37.0,707.5862068965517,1186.896551724138,-139.40886699507388,-368.5897435897436,-262.4390243902439,-5.73248407643312,-718.5714285714286,-585.1612903225806,-48.87640449438202,-370.5314009661835,664.1176470588235,
38.0,688.5906040268457,1178.523489932886,-149.27536231884056,-362.5,-287.43961352657004,-27.67295597484276,-751.643192488263,-600.62893081761,-71.5846994535519,-401.43540669856463,656.140350877193,
39.0,669.281045751634,1170.5882352941176,-151.37614678899084,-379.6511627906977,-294.09090909090907,-44.37869822485207,-784.2592592592594,-612.8048780487804,-97.82608695652173,-432.2274881516588,632.7683615819209,
40.0,657.4193548387096,1176.774193548387,-163.63636363636363,-350.0,-318.3856502242152,-62.35955056179776,-812.2727272727273,-637.9518072289156,-114.94845360824742,-465.566037735849,608.7431693989071,
41.0,645.2229299363057,1182.8025477707006,-177.37556561085972,-364.8514851485149,-336.0869565217391,-86.59217877094972,-836.0,-650.2923976608188,-128.50241545893718,-491.2037037037037,596.7567567567568,
42.0,629.375,1181.875,-190.5829596412556,-390.64039408866995,-364.5021645021645,-109.94475138121547,-867.5438596491227,-675.7225433526012,-153.11004784688996,-524.8847926267281,587.0967741935484,
43.0,612.883435582822,1180.9815950920247,-204.91071428571428,-401.9047619047619,-390.5579399141631,-133.33333333333334,-858.50622406639,-701.7142857142858,-178.19905213270144,-546.8468468468468,534.313725490196,
44.0,602.439024390244,1193.2926829268292,-219.11111111111111,-424.52830188679246,-362.8787878787879,-154.01069518716577,-859.9206349206349,-718.4357541899441,-197.24770642201835,-542.6160337552742,509.00473933649295,
45.0,587.9518072289156,1198.7951807228915,-229.25764192139738,-446.72897196261687,-387.2659176029963,-170.76923076923077,-876.4478764478765,-730.9782608695652,-223.1818181818182,-558.3673469387755,477.92792792792795,
