iteration,hard,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,exp10,
1.0,2850.0,2850.0,1000.0,1500.0,350.0,466.66666666666663,1400.0,177.77777777777777,2400.0,2366.666666666667,250.0,
2.0,3766.6666666666665,3766.6666666666665,1000.0,750.0,350.0,253.84615384615384,1350.0,200.0,2400.0,2800.0,220.00000000000003,
3.0,4225.0,4225.0,1160.0,642.8571428571429,170.58823529411765,258.8235294117647,700.0,216.66666666666669,2366.666666666667,3466.6666666666665,250.0,
4.0,3750.0,3766.6666666666665,675.0,545.4545454545454,168.42105263157893,278.94736842105266,560.0,200.0,2657.1428571428573,1880.0,191.66666666666666,
5.0,3985.7142857142853,4014.2857142857147,660.0,276.6666666666667,163.63636363636363,248.0,609.0909090909091,200.0,2100.0,1466.6666666666665,192.30769230769232,
6.0,2783.333333333333,2825.0,590.0,275.0,152.0,253.84615384615384,526.6666666666666,203.44827586206895,2100.0,1592.3076923076924,185.71428571428572,
7.0,2036.842105263158,2084.2105263157896,548.0,254.05405405405403,134.48275862068965,213.88888888888889,517.6470588235294,203.33333333333331,2242.8571428571427,1644.8275862068967,152.6315789473684,
8.0,2066.666666666667,2133.333333333333,550.0,240.0,113.51351351351352,207.89473684210526,408.33333333333337,181.0810810810811,2366.666666666667,1738.7096774193549,138.0952380952381,
9.0,2008.3333333333333,2087.5,521.2121212121212,218.18181818181816,97.72727272727273,200.0,328.125,167.5,2205.5555555555557,1767.6470588235293,120.83333333333333,
10.0,2112.0,2208.0,500.0,206.66666666666663,82.0,186.04651162790697,297.14285714285717,154.54545454545453,1752.0,1786.4864864864862,108.0,
11.0,2207.6923076923076,2319.2307692307695,502.4390243902439,172.22222222222223,67.3076923076923,150.0,265.7894736842105,146.66666666666669,1751.851851851852,1031.9444444444446,96.15384615384616,
12.0,2217.8571428571427,2339.285714285714,513.953488372093,146.66666666666669,56.896551724137936,133.84615384615387,246.15384615384616,130.6122448979592,1422.2222222222222,1070.2702702702704,78.57142857142857,
13.0,2220.0,2353.3333333333335,513.0434782608695,123.4375,44.067796610169495,118.18181818181819,213.63636363636368,115.99999999999999,1365.0,1056.25,58.82352941176471,
14.0,2151.5151515151515,2296.969696969697,410.9375,103.03030303030303,31.666666666666664,102.94117647058823,191.48936170212764,92.98245614035088,1311.3636363636363,1077.1084337349398,38.888888888888886,
15.0,2211.7647058823527,2376.470588235294,380.8219178082192,77.27272727272727,20.63492063492064,84.50704225352112,171.42857142857144,71.1864406779661,1315.2173913043478,1107.0588235294117,18.42105263157895,
16.0,2041.0256410256409,2210.25641025641,383.78378378378375,52.68817204301075,11.111111111111116,67.12328767123287,152.94117647058823,50.76923076923077,1316.6666666666665,1134.4827586206898,12.0,
17.0,1374.1935483870968,1504.8387096774195,376.62337662337666,26.315789473684216,-6.849315068493156,49.33333333333333,129.82456140350877,32.098765432098766,1245.2830188679245,1137.3626373626373,-11.538461538461542,
18.0,1270.0,1410.0,359.0361445783132,0.0,-24.0,31.645569620253166,110.16949152542372,3.658536585365857,1203.5087719298244,1127.0833333333335,-32.14285714285714,
19.0,1292.957746478873,1456.338028169014,345.45454545454544,-25.773195876288657,-37.9746835443038,11.250000000000004,83.11688311688312,-18.181818181818187,1201.6949152542375,1147.9591836734694,-56.89655172413792,
20.0,1247.3684210526314,1427.6315789473686,343.82022471910113,-46.53465346534653,-52.4390243902439,-8.64197530864197,60.49382716049383,-38.947368421052644,1180.6451612903227,1167.0,-81.66666666666667,
21.0,1078.0219780219782,1258.2417582417581,336.95652173913044,-67.61904761904762,-67.85714285714286,-18.88888888888889,36.904761904761905,-62.62626262626263,1126.865671641791,1171.8446601941748,-89.85507246376811,
22.0,1074.1935483870968,1279.5698924731182,308.7378640776699,-90.65420560747664,-80.45977011494251,-33.68421052631578,13.793103448275868,-86.27450980392157,1120.2898550724638,1185.7142857142858,-116.90140845070425,
23.0,1049.4845360824743,1274.2268041237112,297.196261682243,-106.19469026548671,-97.72727272727273,-54.16666666666667,-7.692307692307687,-112.62135922330097,996.25,1209.433962264151,-139.18918918918922,
24.0,1005.8252427184467,1246.6019417475727,289.9082568807339,-122.03389830508473,-112.22222222222223,-73.73737373737374,-32.258064516129025,-133.96226415094338,955.2941176470588,1114.2857142857142,-168.00000000000003,
25.0,1000.0,1264.7619047619048,268.33333333333337,-140.49586776859508,-122.34042553191489,-94.05940594059405,-54.16666666666667,-141.3793103448276,955.813953488372,1131.6666666666667,-196.0526315789474,
26.0,992.5233644859813,1280.3738317757009,261.4754098360656,-159.6774193548387,-136.45833333333334,-112.38095238095238,-79.38144329896907,-164.40677966101697,916.4835164835164,1106.3492063492063,-202.40963855421685,
27.0,952.2123893805309,1252.212389380531,254.83870967741936,-180.95238095238093,-150.0,-135.8490566037736,-102.0,-175.3968253968254,888.4210526315791,1121.259842519685,-227.05882352941177,
28.0,942.608695652174,1266.086956521739,249.6,-197.6923076923077,-155.33980582524273,-151.35135135135135,-128.7128712871287,-197.67441860465115,869.3877551020408,1135.9375,-244.94382022471913,
29.0,940.5172413793103,1289.655172413793,237.87878787878788,-170.88607594936707,-168.57142857142856,-174.3362831858407,-152.8846153846154,-214.81481481481484,753.0434782608696,1079.7101449275362,-262.36559139784947,
30.0,931.3559322033898,1302.542372881356,230.37037037037038,-170.85714285714286,-182.2429906542056,-193.9655172413793,-179.2452830188679,-240.14598540145985,722.5,1091.36690647482,-290.4255319148936,
31.0,915.702479338843,1304.9586776859505,218.43971631205673,-192.69662921348316,-199.0740740740741,-213.4453781512605,-204.62962962962962,-259.85915492957747,714.0495867768595,1094.3262411347519,-317.89473684210526,
32.0,906.5040650406504,1316.260162601626,200.64102564102564,-213.8121546961326,-215.59633027522938,-237.5,-227.02702702702703,-280.2721088435374,700.8130081300812,1103.5211267605634,-344.7916666666667,
33.0,858.0152671755725,1270.2290076335878,193.03797468354432,-236.0655737704918,-231.81818181818184,-259.8360655737705,-255.35714285714283,-305.33333333333337,668.217054263566,1076.3513513513515,-366.32653061224494,
34.0,786.8055555555555,1188.1944444444446,178.48837209302326,-260.32608695652175,-238.59649122807016,-270.3125,-280.7017543859649,-317.0886075949367,641.044776119403,1083.221476510067,-377.45098039215685,
