exponent,b0,b0.1,b0.2,b0.3,b0.4,b0.5,b0.6,b0.7,b0.8,b0.9,b1,
1.0,4.256429008424373,3.8496747956377884,3.442920582851204,3.036166370064619,2.6294121572780353,2.2226579444914507,1.8159037317048663,1.4091495189182819,1.002395306131697,0.5956410933451126,0.18888688055852826,
2.0,4.0005392817230145,3.6129522849810582,3.225365288239102,2.8377782914971452,2.450191294755189,2.0626042980132326,1.6750173012712761,1.28743030452932,0.8998433077873632,0.5122563110454069,0.12466931430345066,
3.0,4.014418906898353,3.624140106707839,3.2338613065173263,2.843582506326812,2.453303706136299,2.063024905945785,1.6727461057552717,1.2824673055647584,0.8921885053742444,0.501909705183731,0.11163090499321753,
4.0,4.046316857684623,3.6523268348867672,3.258336812088912,2.864346789291056,2.4703567664932007,2.076366743695345,1.6823767208974898,1.2883866980996344,0.8943966753017785,0.500406652503923,0.10641662970606756,
5.0,4.06223804207655,3.666430851778017,3.270623661479484,2.8748164711809503,2.4790092808824173,2.0832020905838844,1.6873949002853512,1.2915877099868183,0.8957805196882848,0.49997332938975175,0.10416613909121869,
6.0,4.064844241845093,3.6686180517706837,3.272391861696274,2.8761656716218633,2.479939481547454,2.0837132914730443,1.6874871013986348,1.291260911324225,0.895034721249815,0.49880853117540525,0.10258234110099554,
7.0,4.070809384347822,3.673903124551357,3.276996864754892,2.880090604958427,2.483184345161962,2.0862780853654974,1.6893718255690329,1.2924655657725679,0.8955593059761029,0.49865304617963807,0.1017467863831733,
8.0,4.076569129493885,3.679028780702052,3.281488431910219,2.8839480831183852,2.4864077343265527,2.0888673855347197,1.6913270367428868,1.2937866879510536,0.8962463391592203,0.4987059903673873,0.10116564157555423,
9.0,4.069894401532726,3.672991906118515,3.2760894107043037,2.8791869152900924,2.482284419875881,2.0853819244616703,1.6884794290474594,1.2915769336332483,0.8946744382190369,0.49777194280482595,0.10086944739061496,
10.0,4.069751843250205,3.6728428148068564,3.275933786363507,2.879024757920158,2.482115729476809,2.08520670103346,1.6882976725901113,1.2913886441467624,0.8944796157034132,0.49757058726006426,0.10066155881671542,
