iteration,hard,exp1,exp2,exp3,exp4,
51.0,33.69565217391305,75.54347826086956,75.54347826086956,75.54347826086956,75.54347826086956,
52.0,33.87096774193549,75.80645161290323,75.80645161290323,75.80645161290323,75.80645161290323,
53.0,33.68983957219251,75.40106951871658,75.40106951871658,75.40106951871658,75.40106951871658,
54.0,34.04255319148937,75.53191489361703,75.53191489361703,75.53191489361703,75.53191489361703,
55.0,33.684210526315795,74.73684210526315,74.73684210526315,74.73684210526315,74.73684210526315,
56.0,33.333333333333336,74.47916666666667,74.47916666666667,74.47916666666667,74.47916666666667,
57.0,33.50515463917526,74.74226804123711,74.74226804123711,74.74226804123711,74.74226804123711,
58.0,34.13461538461539,75.0,75.0,75.0,75.0,
59.0,34.25925925925925,74.53703703703704,74.53703703703704,74.53703703703704,74.53703703703704,
60.0,33.78378378378378,73.42342342342343,73.42342342342343,73.42342342342343,73.42342342342343,
61.0,33.62831858407079,73.45132743362832,73.45132743362832,73.45132743362832,73.45132743362832,
62.0,34.34782608695652,73.47826086956522,73.47826086956522,73.47826086956522,73.47826086956522,
63.0,34.18803418803419,73.93162393162393,73.93162393162393,73.93162393162393,73.93162393162393,
64.0,34.583333333333336,74.16666666666667,74.16666666666667,74.16666666666667,74.16666666666667,
65.0,34.523809523809526,74.20634920634922,74.20634920634922,74.20634920634922,74.20634920634922,
66.0,34.10852713178295,74.03100775193798,74.03100775193798,74.03100775193798,74.03100775193798,
67.0,33.9622641509434,73.58490566037736,73.58490566037736,73.58490566037736,73.58490566037736,
68.0,34.210526315789465,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,
69.0,34.70149253731343,73.88059701492537,73.88059701492537,73.88059701492537,73.88059701492537,
70.0,35.83617747440273,73.72013651877133,73.72013651877133,73.72013651877133,73.72013651877133,
71.0,35.932203389830505,73.89830508474576,73.89830508474576,73.89830508474576,73.89830508474576,
72.0,36.02693602693603,74.07407407407408,74.07407407407408,74.07407407407408,74.07407407407408,
73.0,36.12040133779264,74.24749163879598,74.24749163879598,74.24749163879598,74.24749163879598,
74.0,35.880398671096344,74.4186046511628,74.4186046511628,74.4186046511628,74.4186046511628,
75.0,35.76158940397352,74.50331125827813,74.50331125827813,74.50331125827813,74.50331125827813,
76.0,35.064935064935064,74.35064935064935,74.35064935064935,74.35064935064935,74.35064935064935,
77.0,35.04823151125402,74.59807073954984,74.59807073954984,74.59807073954984,74.59807073954984,
78.0,34.79623824451411,74.60815047021944,74.60815047021944,74.60815047021944,74.60815047021944,
79.0,35.18518518518518,74.69135802469135,74.69135802469135,74.69135802469135,74.69135802469135,
80.0,34.650455927051674,75.07598784194529,75.07598784194529,75.07598784194529,75.07598784194529,
