iteration,hard,exp1,exp2,exp3,exp4,
47.0,-6.688339188976045E-5,-4.3667923312895596E-5,-4.3667923312895596E-5,-4.3667923312895596E-5,-4.3667923312895596E-5,
48.0,1.886162414841408E-4,3.1617878151202206E-4,3.1617878151202206E-4,3.1617878151202206E-4,3.1617878151202206E-4,
49.0,3.922805082252623E-4,4.154907877111924E-4,4.154907877111924E-4,4.154907877111924E-4,4.154907877111924E-4,
50.0,-1.8329337106948174E-4,1.6746299665637565E-4,1.6746299665637565E-4,1.6746299665637565E-4,1.6746299665637565E-4,
51.0,2.5472811779891913E-5,1.8489812658639693E-4,1.8489812658639693E-4,1.8489812658639693E-4,1.8489812658639693E-4,
52.0,2.237704825347464E-5,1.2618318270884998E-4,1.2618318270884998E-4,1.2618318270884998E-4,1.2618318270884998E-4,
53.0,-7.12957289374927E-5,-4.3734123415184456E-5,-4.3734123415184456E-5,-4.3734123415184456E-5,-4.3734123415184456E-5,
54.0,1.7110377360562978E-4,1.7066031595547315E-4,1.7066031595547315E-4,1.7066031595547315E-4,1.7066031595547315E-4,
55.0,-1.4118201616852843E-4,-1.4067648332716232E-4,-1.4067648332716232E-4,-1.4067648332716232E-4,-1.4067648332716232E-4,
56.0,-1.3186367815087863E-4,-6.047760255967205E-5,-6.047760255967205E-5,-6.047760255967205E-5,-6.047760255967205E-5,
57.0,1.0971319854569117E-4,2.4132729330439417E-4,2.4132729330439417E-4,2.4132729330439417E-4,2.4132729330439417E-4,
58.0,5.525799767811534E-4,0.0010765744236787,0.0010765744236787,0.0010765744236787,0.0010765744236787,
59.0,1.693660855508483E-4,3.969014735849541E-4,3.969014735849541E-4,3.969014735849541E-4,3.969014735849541E-4,
60.0,-1.6771799249237773E-4,-3.909996040629693E-5,-3.909996040629693E-5,-3.909996040629693E-5,-3.909996040629693E-5,
61.0,7.925535271091633E-5,2.2545386570804737E-4,2.2545386570804737E-4,2.2545386570804737E-4,2.2545386570804737E-4,
62.0,7.115509939987774E-4,7.100955585155333E-4,7.100955585155333E-4,7.100955585155333E-4,7.100955585155333E-4,
63.0,-9.782456268769835E-5,3.536292595667234E-4,3.536292595667234E-4,3.536292595667234E-4,3.536292595667234E-4,
64.0,3.944764339438578E-4,5.352243545706514E-4,5.352243545706514E-4,5.352243545706514E-4,5.352243545706514E-4,
65.0,5.951899427012464E-4,0.0011156030266352701,0.0011156030266352701,0.0011156030266352701,0.0011156030266352701,
66.0,-8.40448230352564E-5,3.801866047403735E-5,3.801866047403735E-5,3.801866047403735E-5,3.801866047403735E-5,
67.0,-1.0482384191679017E-4,-1.7767648019528792E-6,-1.7767648019528792E-6,-1.7767648019528792E-6,-1.7767648019528792E-6,
68.0,2.1892832760261882E-4,2.183321186643994E-4,2.183321186643994E-4,2.183321186643994E-4,2.183321186643994E-4,
69.0,5.187183666386375E-4,5.175261646206408E-4,5.175261646206408E-4,5.175261646206408E-4,5.175261646206408E-4,
70.0,0.0014928465272312508,0.002800144609355293,0.002800144609355293,0.002800144609355293,0.002800144609355293,
71.0,2.506123783758696E-4,4.14841197134308E-4,4.14841197134308E-4,4.14841197134308E-4,4.14841197134308E-4,
72.0,-1.986391364106055E-5,1.6795811892400536E-5,1.6795811892400536E-5,1.6795811892400536E-5,1.6795811892400536E-5,
73.0,1.9532794685517274E-4,2.180402161124917E-4,2.180402161124917E-4,2.180402161124917E-4,2.180402161124917E-4,
74.0,-1.0483235869696017E-4,3.0617495662355054E-4,3.0617495662355054E-4,3.0617495662355054E-4,3.0617495662355054E-4,
75.0,-5.740001847609477E-5,2.756060089286194E-4,2.756060089286194E-4,2.756060089286194E-4,2.756060089286194E-4,
76.0,-4.004179638368299E-4,-1.4524155885187184E-4,-1.4524155885187184E-4,-1.4524155885187184E-4,-1.4524155885187184E-4,
77.0,1.5804269553498784E-4,2.9475147910673627E-4,2.9475147910673627E-4,2.9475147910673627E-4,2.9475147910673627E-4,
78.0,3.782886384051665E-5,3.4939302214631596E-4,3.4939302214631596E-4,3.4939302214631596E-4,3.4939302214631596E-4,
79.0,4.5716285912167365E-4,5.288987821989721E-4,5.288987821989721E-4,5.288987821989721E-4,5.288987821989721E-4,
80.0,-3.199717700672622E-4,3.348802091913683E-4,3.348802091913683E-4,3.348802091913683E-4,3.348802091913683E-4,
81.0,1.4959339770381774E-4,1.800987168047996E-4,1.800987168047996E-4,1.800987168047996E-4,1.800987168047996E-4,
82.0,2.8465141644407055E-4,8.413373218996156E-4,8.413373218996156E-4,8.413373218996156E-4,8.413373218996156E-4,
83.0,-6.087445432179095E-5,4.323165583119959E-5,4.323165583119959E-5,4.323165583119959E-5,4.323165583119959E-5,
84.0,-5.914751979130273E-5,5.759746795597209E-5,5.759746795597209E-5,5.759746795597209E-5,5.759746795597209E-5,
85.0,1.786686409275262E-4,1.778044573139681E-4,1.778044573139681E-4,1.778044573139681E-4,1.778044573139681E-4,
86.0,4.020234606345596E-4,4.0029540474861847E-4,4.0029540474861847E-4,4.0029540474861847E-4,4.0029540474861847E-4,
87.0,3.4439017979170927E-4,8.676063534291956E-4,8.676063534291956E-4,8.676063534291956E-4,8.676063534291956E-4,
88.0,7.169587103508235E-4,0.0011171722284597507,0.0011171722284597507,0.0011171722284597507,0.0011171722284597507,
89.0,5.9108769025151275E-5,6.811091352787457E-5,6.811091352787457E-5,6.811091352787457E-5,6.811091352787457E-5,
90.0,-6.71299349868093E-5,-2.7332928305590087E-5,-2.7332928305590087E-5,-2.7332928305590087E-5,-2.7332928305590087E-5,
91.0,-1.3896016358039276E-5,1.2817350553451234E-4,1.2817350553451234E-4,1.2817350553451234E-4,1.2817350553451234E-4,
92.0,2.5477325861622546E-4,2.538443778190569E-4,2.538443778190569E-4,2.538443778190569E-4,2.538443778190569E-4,
93.0,-7.139887332563433E-5,-6.631538734325204E-5,-6.631538734325204E-5,-6.631538734325204E-5,-6.631538734325204E-5,
94.0,3.238513166374801E-4,5.474049222025101E-4,5.474049222025101E-4,5.474049222025101E-4,5.474049222025101E-4,
95.0,1.451086175414673E-4,1.2186987783380232E-4,1.2186987783380232E-4,1.2186987783380232E-4,1.2186987783380232E-4,
96.0,-5.9127222574062444E-5,5.423306678231654E-5,5.423306678231654E-5,5.423306678231654E-5,5.423306678231654E-5,
97.0,6.918496722478906E-4,0.001133276029702479,0.001133276029702479,0.001133276029702479,0.001133276029702479,
98.0,7.853625750264825E-5,3.119221237337655E-4,3.119221237337655E-4,3.119221237337655E-4,3.119221237337655E-4,
99.0,-1.3573877438144422E-4,-1.0260976353215767E-4,-1.0260976353215767E-4,-1.0260976353215767E-4,-1.0260976353215767E-4,
