beta,gamma,MAE,KLp,KLh,
0.0,1.0,4.0429194743906726E-5,7.981651894498847E-5,8.383329972286261E-6,
0.5,1.0,4.506296478159794E-6,1.6733901068957537E-5,2.1961099854302888E-5,
1.0,1.0,0.0,5.3703771734206E-5,1.3639415352595816E-5,

